ts	tag	url	leader	alerts_processed	sink_q	sink_drops	verdict_n	v_p50	v_p95	v_p99	notify_n	n_p50	n_p95	n_p99	pg_conn	redis_alert_kb	redis_cache_kb	sse
1789186822.878544400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	12	1147472	1011720	NA
1789186832.387982700	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	19	1147472	1011720	NA
1789186842.231108900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	19	1147472	1011720	NA
1789186852.784528100	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	19	1147472	1011720	NA
1789186863.188457600	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789186873.214423800	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789186883.282525900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789186893.528435500	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789186903.282397300	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789186913.060788900	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789186923.692170400	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789186933.902067100	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
1789186944.590264800	m1-ladder	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	18	1147472	1011720	NA
